foot,target_channel,trial,mass_g,scan_count,target_raw_average,target_corrected,strongest_other_channel,strongest_other_corrected,raw_C00,raw_C01,raw_C02,raw_C03,raw_C04,raw_C05,raw_C06,raw_C07,raw_C08,raw_C09,raw_C10,raw_C11,corrected_C00,corrected_C01,corrected_C02,corrected_C03,corrected_C04,corrected_C05,corrected_C06,corrected_C07,corrected_C08,corrected_C09,corrected_C10,corrected_C11
Left,3,3,1000.0,5,96.6,73.5,0,71.3,83.6,213.8,87.6,96.6,-2.6,-17.0,-28.2,12.8,41.6,19.2,57.0,65.0,71.3,39.5,36.99999999999999,73.5,0.0,0.0,0.0,0.0,14.600000000000001,0.0,42.8,55.0
Left,3,4,1000.0,5,57.8,34.699999999999996,7,62.0,53.6,111.4,90.6,57.8,39.2,53.2,-5.0,86.2,23.0,48.2,27.8,16.8,41.3,0.0,39.99999999999999,34.699999999999996,15.800000000000004,37.900000000000006,0.0,62.0,0.0,14.800000000000004,13.600000000000001,6.800000000000001
Left,3,5,1000.0,5,92.2,69.1,10,61.8,67.0,187.6,49.6,92.2,29.2,26.4,23.0,29.8,34.4,50.2,76.0,45.6,54.7,13.299999999999983,0.0,69.1,5.800000000000001,11.099999999999998,5.800000000000001,5.600000000000001,7.399999999999999,16.800000000000004,61.8,35.6
Left,4,1,1000.0,5,142.2,118.79999999999998,0,35.5,47.8,160.2,40.2,-33.8,142.2,9.2,33.0,27.0,-15.4,66.4,-24.6,13.2,35.5,0.0,0.0,0.0,118.79999999999998,0.0,15.8,2.8000000000000007,0.0,33.00000000000001,0.0,3.1999999999999993
Left,4,2,1000.0,5,26.6,3.200000000000003,10,81.2,-14.6,149.4,91.6,13.0,26.6,78.0,34.0,53.6,-19.8,14.0,95.4,-20.8,0.0,0.0,40.99999999999999,0.0,3.200000000000003,62.7,16.8,29.400000000000002,0.0,0.0,81.2,0.0
Left,4,3,1000.0,5,24.0,0.6000000000000014,8,41.2,27.4,125.6,20.8,58.6,24.0,27.4,-14.2,34.6,68.2,15.0,34.8,0.6,15.099999999999998,0.0,0.0,35.5,0.6000000000000014,12.099999999999998,0.0,10.400000000000002,41.2,0.0,20.599999999999998,0.0
Left,4,4,1000.0,5,52.8,29.4,10,44.8,18.2,158.6,53.0,42.6,52.8,35.0,22.4,24.8,20.2,14.8,59.0,47.6,5.899999999999999,0.0,2.3999999999999986,19.5,29.4,19.7,5.199999999999999,0.6000000000000014,0.0,0.0,44.8,37.6
Left,4,5,1000.0,5,66.8,43.4,11,55.2,18.0,168.8,44.6,3.4,66.8,10.8,52.8,14.4,-8.8,51.2,22.2,65.2,5.699999999999999,0.0,0.0,0.0,43.4,0.0,35.599999999999994,0.0,0.0,17.800000000000004,8.0,55.2
Left,5,1,1000.0,5,-6.2,0.0,6,36.599999999999994,31.4,148.4,46.6,-3.8,22.4,-6.2,53.8,-9.2,0.8,56.2,20.0,45.4,19.099999999999998,0.0,0.0,0.0,0.0,0.0,36.599999999999994,0.0,0.0,22.800000000000004,5.800000000000001,35.4
Left,5,2,1000.0,5,4.8,0.0,4,23.0,-25.4,117.8,44.2,23.0,46.4,4.8,-1.0,2.0,19.4,30.0,-0.8,23.2,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2
Left,5,3,1000.0,5,25.2,9.899999999999999,9,81.4,25.6,127.2,110.8,12.2,50.6,25.2,35.0,26.8,-53.8,114.8,50.2,19.4,13.3,0.0,60.199999999999996,0.0,27.200000000000003,9.899999999999999,17.8,2.6000000000000014,0.0,81.4,36.0,9.399999999999999
Left,5,4,1000.0,5,45.2,29.900000000000002,2,51.199999999999996,7.4,136.2,101.8,-34.8,46.2,45.2,-8.4,58.0,24.0,53.8,41.0,14.0,0.0,0.0,51.199999999999996,0.0,22.800000000000004,29.900000000000002,0.0,33.8,0.0,20.4,26.8,4.0
Left,5,5,1000.0,5,30.2,14.899999999999999,4,42.800000000000004,-32.0,182.0,53.4,64.6,66.2,30.2,-35.6,-21.8,3.2,61.4,39.8,-19.6,0.0,7.699999999999989,2.799999999999997,41.49999999999999,42.800000000000004,14.899999999999999,0.0,0.0,0.0,28.0,25.599999999999998,0.0
Left,6,1,1000.0,5,27.8,10.600000000000001,2,43.800000000000004,29.0,181.6,94.4,39.0,37.6,13.8,27.8,30.0,44.8,48.0,15.4,10.8,16.7,7.299999999999983,43.800000000000004,15.899999999999999,14.200000000000003,0.0,10.600000000000001,5.800000000000001,17.799999999999997,14.600000000000001,1.200000000000001,0.8000000000000007
Left,6,2,1000.0,5,39.8,22.599999999999998,5,33.5,-13.4,157.6,25.6,17.8,29.6,48.8,39.8,42.4,42.2,32.0,6.6,26.4,0.0,0.0,0.0,0.0,6.200000000000003,33.5,22.599999999999998,18.2,15.200000000000003,0.0,0.0,16.4
Left,6,3,1000.0,5,-56.2,0.0,0,63.10000000000001,75.4,144.0,39.8,39.0,39.0,48.4,-56.2,42.8,83.4,49.6,-7.6,-10.6,63.10000000000001,0.0,0.0,15.899999999999999,15.600000000000001,33.099999999999994,0.0,18.599999999999998,56.400000000000006,16.200000000000003,0.0,0.0
Left,6,4,1000.0,5,2.8,0.0,10,23.000000000000004,-23.2,145.0,36.2,16.2,9.0,4.6,2.8,44.2,46.8,47.0,37.2,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,19.799999999999997,13.600000000000001,23.000000000000004,9.8
